1,Chichen Itza site models,null,Zona Central Survey,null,null,null,null,null
2,El Castillo,The Castle,Temple of Kukulkan,null,null,null,null,null
3,El Castillo substructure,null,Throneroom,null,null,null,null,null
4,El Caracol,The Shell,Observatorio,null,null,null,null,null
5,Gran Juego Pelota,The Great Ballcourt ,null,null,null,null,null,null
6,Templo Jaguares Lower,Temple of the Jaguars Lower ,null,null,null,null,null,null
7,Templo Jaguares Upper,Templo Jaguares Upper,null,null,null,null,null,null
8,Templo Norte,Northern Temple ,null,null,null,null,null,null
9,Templo Sur,Southern Temple ,null,null,null,null,null,null
10,Mil Columnas,Thousand Columns ,null,null,null,null,null,null
11,Columnata Norte,null,null,null,null,null,null,null
12,Columnata Escuplidas,null,null,null,null,null,null,null
13,Pequenas Mesas,null,null,null,null,null,null,null
14,Columnata Este,null,null,null,null,null,null,null
15,Columnata Sureste,null,null,null,null,null,null,null
16,El Mercado,null,null,null,null,null,null,null
17,Banos de Vapor,Sweat Baths,null,null,null,null,null,null
18,Las Monjas,null,The Nunnery,null,null,null,null,null
19,La Iglesia,The Church,null,null,null,null,null,null
20,Arco,The Arch,null,null,null,null,null,null
21,Casa Falos,null,(Falcos (sic.) 2018 data),null,null,null,null,null
22,Galeras Lunas,null,null,null,null,null,null,null
23,Plataforma Venus,null,null,null,null,null,null,null
24,Templo Grandes Mesas,null,null,null,null,null,null,null
25,Templo Guerreros,Temple of the Warriors ,"Guerros (sic), 2018 data ",null,null,null,null,null
26,Templo Guerreros sub,Temple of the Warriors ,Templo de Chacmool,null,null,null,null,null
27,Tableros,null,null,null,null,null,null,null
28,Casa Buhos,null,null,null,null,null,null,null
29,Casa Colorada,Casa Del Venado ,null,null,null,null,null,null
30,Akab Dzib,null,dark writing,null,null,null,null,null
31,Tzompantli,null,null,null,null,null,null,null
32,Cenote Sagrado,Sacred Cenote,null,null,null,null,null,null
33,Cenote Sagrado Frog Stones ,null,null,null,null,null,null,null
34,Templo Cenote Sagrado,null,null,null,null,null,null,null
35,El Osario,The Ossuary,The High Priest's Grave ,null,null,null,null,null
36,Casa Yugo,null,null,null,null,null,null,null
37,Plataforma Tortuga,null,null,null,null,null,null,null
38,Plataforma Aguilas y Jaguares ,null,null,null,null,null,null,null
39,Cenote Xtoloc,null,null,null,null,null,null,null
40,Templo Xtoloc,null,null,null,null,null,null,null
41,Templo Inicial,null,null,null,null,null,null,null
42,Casa Monos,null,Chultun,null,null,null,null,null
43,Balankanche,null,null,null,null,null,null,null
